sample_id,x1,x2,label
class_1_004,3.156846,-0.598683,class_1
class_0_090,1.091171,1.398684,class_0
class_2_055,-0.442152,3.860036,class_2
class_0_033,1.184687,1.522243,class_0
class_1_067,3.982863,-0.289451,class_1
class_1_185,2.06395,-0.21709,class_1
class_1_178,2.595306,-0.071791,class_1
class_0_004,0.992363,-2.034748,class_0
class_2_041,1.306251,2.129919,class_2
class_0_038,-0.061634,1.406816,class_0
class_2_059,-0.361745,2.204941,class_2
class_2_022,0.786553,5.131334,class_2
class_2_045,1.418139,3.637937,class_2
class_2_113,0.967789,2.7261,class_2
class_1_065,3.216378,1.613937,class_1
class_1_008,1.758131,1.326104,class_1
class_0_191,0.495394,-0.534441,class_0
class_2_030,1.065064,3.391698,class_2
class_2_160,1.716685,3.787091,class_2
class_2_141,-0.259962,3.475953,class_2
class_0_156,-1.001177,0.127647,class_0
class_0_087,-1.298504,-2.250842,class_0
class_2_166,0.076982,3.504576,class_2
class_0_104,-2.329517,-1.003369,class_0
class_1_125,4.128957,0.913454,class_1
class_0_007,-0.113466,-0.147009,class_0
class_0_170,-0.853696,1.409349,class_0
class_2_111,1.196123,3.199435,class_2
class_0_071,-0.237785,-0.225263,class_0
class_0_088,-0.403732,0.292738,class_0
class_0_062,0.161376,1.129155,class_0
class_1_105,2.595013,1.58431,class_1
class_0_184,-1.472145,-1.05199,class_0
class_1_137,3.333044,-0.451408,class_1
class_1_053,3.221962,-0.175765,class_1
class_1_113,2.326063,0.987208,class_1
class_2_172,1.559625,2.538155,class_2
class_0_084,0.056772,-0.960041,class_0
class_1_198,3.686898,3.290876,class_1
class_0_177,-0.208646,-0.105658,class_0
class_0_185,0.170714,-0.830917,class_0
class_1_093,4.334636,-0.357994,class_1
class_1_016,4.838983,-0.168754,class_1
class_2_158,0.116759,3.640997,class_2
class_0_110,0.500272,-0.177623,class_0
class_1_111,4.192352,0.457234,class_1
class_2_133,1.470764,3.904004,class_2
class_1_058,1.944759,0.23619,class_1
class_0_011,-0.356024,-1.195093,class_0
class_0_171,-0.481964,2.197554,class_0
class_0_151,0.555676,0.177657,class_0
class_1_098,3.403054,0.162248,class_1
class_1_049,3.568271,1.987717,class_1
class_1_169,3.490721,-0.89985,class_1
class_0_035,0.142688,0.035837,class_0
class_0_078,0.622868,1.69276,class_0
class_0_073,-0.533705,0.238995,class_0
class_0_085,1.907519,-0.838508,class_0
class_1_017,4.331703,-0.054143,class_1
class_1_180,3.996051,1.452801,class_1
class_0_002,1.302831,0.608436,class_0
class_0_044,1.255715,0.291089,class_0
class_0_001,-1.224411,0.619294,class_0
class_0_051,-0.674644,0.601598,class_0
class_1_085,2.812939,2.468788,class_1
class_0_108,-0.21131,1.779484,class_0
class_2_134,1.393487,2.816368,class_2
class_2_100,-0.14929,4.0098,class_2
class_2_167,1.74773,2.63113,class_2
class_1_030,2.086453,2.207057,class_1
class_2_049,1.26841,3.649587,class_2
class_1_128,3.209545,-1.25374,class_1
class_1_146,3.78443,0.426124,class_1
class_1_096,3.125398,0.112075,class_1
class_2_069,0.299821,4.05423,class_2
class_2_012,1.867536,3.722094,class_2
class_0_096,0.769125,-0.035094,class_0
class_0_099,0.043009,0.329569,class_0
class_2_128,1.59656,2.541933,class_2
class_2_104,1.164311,3.721046,class_2
class_2_039,-0.621937,2.811837,class_2
class_2_106,1.664772,5.775339,class_2
class_1_101,2.774082,2.877852,class_1
class_2_181,1.218859,1.144374,class_2
class_1_173,2.743366,2.154412,class_1
class_0_089,-1.120059,-0.385058,class_0
class_2_198,2.98662,4.625533,class_2
class_0_012,0.517605,1.238557,class_0
